source,location_id,country,latitude,longitude,sample_date,parameter,value,unit,quality
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1991-03-26,Dissolved oxygen,3.97,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-04-30,Dissolved oxygen,8.6,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-06-04,Dissolved oxygen,10.87,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-06-25,Dissolved oxygen,9.02,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-07-09,Dissolved oxygen,9.81,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-07-23,Dissolved oxygen,8.07,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-08-06,Dissolved oxygen,9.73,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1991-04-29,Dissolved oxygen,8.09,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1987-12-28,Dissolved oxygen,10.57,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-09-10,Dissolved oxygen,9.26,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1988-01-19,Dissolved oxygen,7.2,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-09-24,Dissolved oxygen,7.97,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1988-02-01,Dissolved oxygen,8.56,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1988-02-08,Dissolved oxygen,12.69,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-11-19,Dissolved oxygen,8.84,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1988-03-14,Dissolved oxygen,11.09,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-12-03,Dissolved oxygen,7.45,mg/L,
